temperature_2m,relative_humidity_2m,cloud_cover_high,cloud_cover_mid,cloud_cover_low,surface_pressure,wind_gusts_10m,wind_direction_10m,wind_speed_100m,soil_moisture_100_to_255cm,target
24.0,91,100,10,10,1010.5,12.6,22,15.5,0.368,0
23.9,91,100,22,11,1011.3,10.8,23,12.2,0.368,0
24.7,88,100,1,17,1011.8,11.2,14,10.3,0.368,0
26.4,78,97,10,12,1012.9,15.5,46,9.9,0.368,0
27.9,70,100,24,6,1013.2,27.7,53,20.4,0.368,0
28.7,68,100,19,21,1012.9,32.4,55,23.5,0.368,0
29.5,65,100,16,17,1012.4,35.6,62,22.8,0.368,0
30.0,62,100,31,51,1011.2,36.7,63,25.5,0.368,0
29.6,65,100,4,73,1010.4,36.4,67,24.7,0.368,0
29.7,66,100,9,99,1009.3,36.4,70,20.1,0.368,0
27.2,77,100,62,37,1008.6,35.6,64,25.8,0.368,1
27.0,79,99,34,3,1008.4,33.8,63,8.5,0.368,1
27.2,80,100,7,4,1008.6,14.4,45,10.1,0.368,0
26.5,86,100,17,12,1009.5,14.0,16,11.1,0.368,0
26.2,87,100,11,10,1010.5,10.4,17,12.6,0.368,0
25.1,87,1,17,7,1011.7,13.7,347,14.4,0.368,0
25.0,88,12,100,2,1012.3,15.8,344,17.2,0.368,0
25.2,87,0,100,3,1012.5,16.2,338,18.8,0.368,0
25.4,86,40,100,10,1012.5,17.3,340,19.7,0.368,0
25.1,85,39,100,4,1012.3,20.2,340,20.4,0.368,0
25.0,86,100,100,5,1011.9,19.4,344,19.5,0.368,0
24.8,86,93,100,6,1011.1,18.0,336,19.4,0.368,0
24.6,86,99,86,14,1010.9,18.4,341,19.6,0.368,1
24.5,87,82,95,4,1010.7,18.4,353,18.7,0.368,0
24.4,87,97,21,67,1011.1,16.6,356,17.0,0.368,0
24.2,86,56,33,28,1011.6,14.4,13,16.7,0.368,0
24.6,86,94,16,18,1012.4,13.3,27,13.2,0.368,0
26.0,82,100,27,2,1013.3,13.3,42,7.1,0.368,0
27.2,76,100,33,2,1013.8,15.8,70,9.4,0.368,0
28.0,72,100,0,8,1013.7,20.5,58,13.9,0.368,0
29.1,67,100,3,6,1013.3,30.2,63,19.7,0.368,0
29.4,65,100,13,26,1012.6,33.8,71,24.2,0.368,0
29.6,65,100,10,25,1011.5,33.8,72,20.2,0.368,0
29.6,65,81,28,54,1010.5,32.0,70,20.4,0.368,1
29.0,69,5,12,5,1009.7,31.0,56,13.9,0.368,0
29.1,69,32,14,12,1009.4,25.9,63,14.7,0.368,0
28.7,71,92,23,8,1009.6,24.8,51,12.8,0.368,0
27.5,77,100,19,4,1010.3,17.6,22,13.4,0.368,0
26.7,84,60,86,6,1011.2,10.4,360,11.6,0.368,0
26.6,80,83,37,5,1012.3,12.2,7,15.2,0.368,0
26.2,83,10,32,3,1012.8,12.2,330,15.7,0.368,0
25.8,86,15,95,18,1012.9,14.0,316,12.5,0.368,1
25.5,87,2,82,11,1012.3,16.6,313,15.7,0.368,0
25.1,88,21,97,8,1012.2,14.8,325,16.7,0.368,0
25.0,88,45,100,1,1011.9,13.7,332,14.9,0.368,0
25.0,88,97,88,15,1011.5,11.9,324,10.5,0.368,0
24.6,91,100,93,19,1011.2,11.5,289,8.7,0.368,1
24.5,91,100,100,25,1011.2,10.1,286,8.0,0.368,0
24.4,92,86,100,27,1011.3,10.4,292,6.3,0.368,0
24.4,92,79,97,12,1011.6,9.0,360,11.0,0.368,0
25.2,81,99,100,10,1012.1,13.3,68,17.3,0.368,0
26.2,81,78,85,5,1013.2,11.9,67,8.0,0.368,0
27.2,74,66,80,4,1013.6,18.0,66,10.7,0.368,0
28.4,69,4,17,2,1013.1,24.8,64,16.1,0.368,0
29.8,64,9,29,0,1012.5,28.4,67,17.8,0.368,0
30.6,61,0,1,5,1011.6,36.7,64,17.3,0.368,0
31.2,60,0,12,68,1011.0,37.1,76,20.6,0.368,0
30.8,60,0,14,100,1010.2,34.9,81,20.0,0.368,0
30.6,61,0,29,76,1009.1,32.0,82,17.7,0.368,0
30.5,63,0,4,4,1008.5,32.0,83,15.6,0.368,1
29.9,68,0,15,8,1008.9,27.4,60,12.4,0.368,0
27.2,82,29,71,21,1010.0,18.4,74,8.2,0.368,1
26.0,87,53,99,26,1011.1,12.6,202,7.9,0.368,1
27.6,76,14,100,0,1011.8,11.2,358,11.7,0.368,0
27.3,78,1,36,8,1012.3,10.8,7,12.8,0.368,0
26.8,80,0,27,8,1012.4,11.2,6,14.8,0.368,0
26.5,79,27,10,8,1012.4,12.6,19,16.3,0.368,0
26.1,82,33,4,3,1012.0,13.0,22,18.2,0.368,0
25.6,86,61,21,14,1011.9,15.1,9,17.7,0.368,0
25.2,90,55,11,10,1011.5,13.3,12,16.6,0.368,0
25.0,91,75,10,12,1010.8,11.9,7,13.2,0.368,0
24.5,94,92,13,13,1010.9,9.4,5,10.9,0.368,0
24.2,93,90,8,11,1010.9,7.2,29,13.0,0.368,0
23.9,91,85,14,10,1011.1,7.6,34,12.3,0.368,0
24.8,85,91,2,7,1011.8,10.8,44,13.2,0.368,0
26.6,72,98,3,7,1012.6,17.3,53,12.5,0.368,0
27.9,67,98,0,9,1013.0,22.7,56,14.2,0.368,0
29.0,63,99,2,11,1012.9,23.8,50,14.1,0.367,0
29.9,61,99,1,10,1012.5,25.6,56,15.3,0.367,0
30.8,57,96,16,17,1011.5,31.0,74,20.0,0.367,0
31.4,54,79,20,16,1010.3,31.3,80,19.9,0.367,1
31.6,54,16,26,18,1009.1,30.2,86,18.0,0.367,1
31.1,56,3,24,16,1008.4,27.7,88,16.1,0.367,1
30.5,58,0,21,11,1008.3,24.8,68,18.4,0.367,0
29.5,65,0,12,4,1008.8,24.5,38,12.1,0.367,0
27.8,74,0,15,14,1009.5,11.5,358,10.8,0.367,0
26.9,85,1,36,14,1010.4,8.6,360,9.4,0.367,0
27.1,79,45,15,12,1011.6,11.2,2,13.1,0.367,0
26.7,81,76,24,12,1012.1,11.9,339,10.6,0.367,0
26.2,84,99,25,17,1012.0,7.6,308,7.6,0.367,0
26.0,86,100,17,5,1012.0,7.9,315,8.9,0.367,0
25.5,88,98,20,12,1011.8,8.3,333,11.8,0.367,0
25.1,89,70,17,19,1011.4,8.3,342,12.3,0.367,0
25.0,90,99,17,20,1010.7,9.0,338,11.7,0.367,0
24.7,91,99,3,10,1009.9,10.4,336,13.0,0.367,0
24.4,92,99,0,0,1009.7,10.8,2,13.0,0.367,0
24.4,90,98,0,0,1009.5,10.4,47,17.3,0.367,0
24.2,86,100,0,0,1010.1,10.8,53,15.4,0.367,0
24.9,84,100,0,2,1010.8,9.0,18,10.5,0.367,0
26.2,75,100,0,3,1011.9,14.8,342,9.4,0.367,0
27.5,69,99,0,0,1012.6,16.6,347,7.6,0.367,0
28.7,66,97,0,0,1012.5,17.6,353,7.6,0.367,0
29.8,63,10,0,0,1011.9,17.6,2,7.0,0.367,0
30.8,59,3,0,2,1011.0,19.4,18,8.8,0.367,0
31.5,56,0,9,19,1010.0,21.2,40,11.1,0.367,0
31.5,55,0,13,3,1009.0,22.0,38,12.4,0.367,0
31.5,55,0,11,0,1008.3,22.7,27,13.6,0.367,0
31.0,55,0,12,1,1008.5,22.7,13,14.4,0.367,0
30.1,60,4,14,0,1009.1,21.6,353,17.8,0.367,0
28.6,65,0,7,0,1010.0,19.8,350,17.4,0.367,0
27.5,73,0,12,9,1010.9,14.4,23,11.8,0.367,0
27.5,69,70,0,11,1011.8,13.3,5,18.6,0.367,0
27.1,69,69,0,0,1012.5,16.9,349,21.9,0.367,0
26.5,69,50,0,0,1012.4,19.8,352,23.4,0.367,0
26.0,71,47,1,0,1012.1,19.8,1,22.2,0.367,0
25.5,74,31,0,0,1011.6,18.0,8,18.6,0.367,0
24.9,77,84,0,0,1010.9,14.0,360,14.3,0.367,0
24.4,80,88,0,0,1010.6,10.8,343,13.9,0.367,0
23.9,83,11,0,0,1010.3,10.8,342,14.7,0.367,0
23.5,85,12,0,0,1010.2,10.1,351,14.6,0.367,0
23.2,86,1,0,0,1010.7,9.0,354,14.4,0.367,0
23.0,87,54,2,0,1011.4,8.3,352,14.1,0.367,0
24.0,83,84,0,0,1012.0,11.5,1,14.6,0.367,0
26.1,70,95,0,0,1012.8,14.0,3,10.5,0.367,0
27.8,63,6,0,0,1013.3,19.8,356,11.9,0.367,0
29.1,59,15,0,0,1013.0,22.0,351,12.0,0.367,0
30.2,56,7,0,0,1012.4,22.0,360,10.4,0.367,0
31.0,53,51,0,0,1011.2,20.9,14,8.6,0.367,0
31.7,51,18,0,0,1010.0,19.1,41,7.5,0.367,0
32.0,49,0,0,0,1008.8,17.6,49,7.2,0.367,0
32.0,48,58,0,2,1008.2,18.0,32,9.7,0.367,0
31.6,49,100,0,1,1008.3,21.6,27,14.9,0.367,0
30.5,53,16,2,0,1008.6,22.3,20,18.4,0.367,0
29.1,58,0,0,0,1009.1,19.4,18,17.7,0.367,0
28.1,64,0,0,1,1010.1,14.0,46,13.6,0.367,0
28.0,62,22,1,1,1011.0,10.4,16,14.4,0.367,0
27.5,65,0,1,2,1011.7,12.2,350,15.0,0.367,0
26.8,68,1,0,0,1011.5,15.1,344,17.8,0.367,0
25.6,75,3,0,0,1011.4,14.0,356,12.8,0.367,0
24.9,82,5,1,0,1010.8,8.3,339,5.9,0.367,0
24.2,84,10,1,0,1010.5,6.1,321,4.5,0.367,0
23.6,87,39,0,0,1010.0,5.0,325,4.1,0.367,0
23.4,88,93,0,0,1009.7,4.7,348,5.0,0.367,0
23.1,87,94,0,0,1009.5,5.4,341,5.9,0.367,0
22.9,86,8,0,0,1009.7,6.8,337,7.1,0.367,0
22.6,84,25,0,0,1010.3,7.2,333,7.3,0.367,0
23.5,80,9,0,0,1010.9,10.4,333,7.1,0.367,0
26.0,73,3,0,0,1012.1,13.0,335,7.0,0.367,0
28.4,62,15,0,0,1012.4,13.3,12,5.5,0.367,0
29.9,58,66,0,0,1012.2,16.2,41,7.1,0.367,0
31.1,54,49,0,0,1011.4,19.8,39,9.7,0.367,0
31.8,52,28,0,0,1010.2,20.5,28,10.0,0.367,0
32.3,50,41,0,0,1009.0,22.0,20,11.4,0.367,0
32.5,48,90,2,5,1007.9,22.3,17,12.0,0.367,0
32.7,48,2,0,25,1007.5,22.0,21,12.7,0.367,0
32.1,48,2,0,8,1007.5,23.4,21,16.3,0.367,0
30.9,52,14,0,3,1007.9,23.4,17,18.6,0.367,0
29.3,56,17,0,1,1008.6,18.7,9,16.1,0.367,0
28.4,61,98,1,1,1009.4,11.2,355,13.5,0.367,0
27.9,64,88,26,15,1010.3,9.4,18,14.4,0.367,0
28.2,62,86,2,14,1010.8,15.5,360,20.5,0.367,0
27.5,65,75,0,0,1010.8,17.6,347,22.0,0.367,0
26.9,68,84,0,0,1010.7,17.3,339,20.2,0.367,0
26.2,71,81,0,0,1010.5,15.1,338,18.8,0.367,0
25.5,75,83,0,0,1010.0,14.8,336,15.8,0.367,0
24.9,78,44,0,0,1009.4,13.0,344,15.2,0.367,0
24.5,80,86,0,0,1009.0,13.7,345,17.2,0.367,0
24.2,81,89,0,0,1008.9,13.7,349,17.3,0.367,0
24.0,82,94,0,0,1009.1,13.0,356,17.7,0.367,0
23.9,82,97,0,0,1009.5,13.0,360,17.4,0.367,0
24.4,81,99,0,0,1010.1,15.5,5,17.5,0.367,0
26.6,75,79,0,0,1011.1,19.4,1,18.7,0.367,0
28.9,65,95,0,0,1011.8,22.3,7,13.8,0.367,0
30.3,59,86,0,0,1011.7,23.4,15,12.9,0.367,0
31.4,54,93,0,0,1010.9,23.4,18,12.0,0.367,0
32.2,52,97,0,20,1009.6,22.7,14,11.6,0.367,0
32.6,51,92,0,14,1008.5,22.7,28,11.6,0.367,0
32.8,49,14,0,25,1007.3,23.8,44,13.6,0.367,0
32.5,49,14,6,26,1006.5,23.8,33,13.2,0.367,0
32.4,48,9,16,2,1006.3,21.6,14,11.1,0.367,0
31.6,54,8,4,6,1006.4,16.6,2,10.8,0.367,0
29.6,61,25,12,11,1006.9,10.8,4,12.9,0.367,0
28.6,67,1,26,23,1007.7,9.4,2,12.5,0.367,0
29.6,75,92,5,9,1008.3,7.2,278,10.5,0.344,0
28.6,75,26,3,0,1008.8,8.3,297,10.4,0.344,0
28.1,75,84,1,0,1008.8,8.3,300,8.4,0.344,0
27.7,74,93,1,0,1008.6,8.3,304,8.5,0.344,0
27.4,73,100,1,1,1008.6,13.7,312,15.6,0.344,0
26.8,75,99,0,4,1008.3,14.4,333,16.2,0.344,0
26.4,77,100,0,0,1007.9,11.9,347,15.5,0.344,0
26.3,77,100,0,0,1007.7,11.9,350,16.6,0.344,0
26.1,77,40,0,0,1007.6,11.9,342,15.9,0.344,0
25.7,79,0,0,0,1007.5,11.9,333,15.7,0.344,0
25.4,81,5,0,0,1008.0,13.0,338,16.2,0.344,0
25.7,81,0,0,1,1008.9,13.3,344,15.6,0.344,0
27.9,76,1,0,0,1009.8,13.7,354,10.6,0.344,0
29.8,69,0,0,0,1010.1,17.3,16,8.8,0.344,0
31.4,60,0,0,0,1010.0,18.7,29,8.6,0.344,0
32.7,53,0,0,19,1009.4,18.7,52,7.7,0.344,0
33.5,50,0,8,6,1008.4,19.8,59,8.1,0.344,0
34.0,47,0,21,0,1007.4,20.2,84,7.0,0.344,0
34.0,47,0,16,2,1006.2,18.0,142,5.1,0.344,0
33.8,48,0,7,0,1005.3,15.1,171,5.7,0.344,0
33.6,50,1,12,0,1005.1,14.4,186,6.7,0.344,0
32.0,60,1,27,0,1005.3,16.9,189,12.0,0.344,0
30.2,69,0,18,2,1006.2,15.8,207,14.3,0.344,0
29.7,72,1,21,2,1007.1,11.5,248,11.0,0.344,0
29.5,74,26,7,2,1007.5,8.6,292,10.9,0.344,0
29.1,76,78,0,2,1008.4,7.9,294,10.9,0.344,0
28.9,74,96,14,10,1008.5,11.9,309,15.3,0.344,0
28.5,74,100,30,5,1008.9,11.9,349,15.0,0.344,0
28.1,76,98,31,0,1008.5,14.0,24,15.4,0.344,0
28.0,78,83,27,3,1008.3,10.4,94,10.0,0.344,0
27.4,78,9,23,9,1008.0,11.5,128,12.4,0.344,0
27.4,77,80,17,0,1007.3,8.3,180,2.9,0.344,0
27.1,79,48,10,0,1007.1,1.1,225,2.9,0.344,0
26.8,80,19,3,2,1007.4,2.2,333,6.7,0.344,0
26.5,82,26,1,2,1008.1,3.2,338,8.1,0.344,0
26.9,82,21,0,2,1008.7,6.5,360,9.0,0.344,0
28.5,77,2,5,0,1009.2,15.1,3,9.9,0.344,0
30.0,71,22,6,3,1010.0,16.6,4,8.0,0.344,0
31.5,65,26,16,2,1010.2,18.7,46,7.8,0.344,0
32.5,61,21,10,7,1009.7,23.4,55,9.9,0.344,0
33.2,57,16,16,12,1008.7,26.3,69,9.1,0.344,0
33.4,57,13,23,28,1007.7,24.1,87,4.7,0.344,0
32.9,57,32,74,76,1006.6,23.0,110,10.4,0.344,1
29.9,72,28,66,8,1006.5,30.6,129,11.4,0.344,1
31.3,65,50,27,8,1006.5,17.3,30,4.3,0.344,0
31.0,67,94,16,0,1006.5,11.2,29,6.9,0.344,0
30.3,69,98,35,30,1007.3,9.4,90,10.3,0.344,1
28.8,76,99,15,0,1008.0,15.8,100,13.5,0.344,0
28.1,83,100,49,7,1008.7,7.6,103,7.4,0.344,1
28.1,85,99,19,4,1009.2,6.1,111,5.6,0.344,0
27.5,88,99,42,25,1009.4,5.0,130,5.1,0.344,1
26.5,93,98,12,0,1009.5,5.0,189,3.5,0.344,1
26.2,95,100,16,16,1009.9,10.1,355,8.9,0.344,0
26.0,96,100,22,27,1009.5,10.4,291,8.0,0.344,0
25.8,97,99,14,10,1008.4,9.4,297,8.9,0.344,0
25.5,96,99,29,14,1008.1,10.4,287,9.6,0.344,0
25.2,96,100,22,24,1007.8,11.2,308,8.9,0.344,0
25.0,96,100,23,14,1008.0,8.3,306,8.0,0.344,0
24.5,99,100,21,100,1009.0,10.8,320,7.4,0.344,1
24.5,97,99,12,15,1009.4,12.6,311,7.0,0.344,1
26.0,93,100,12,10,1010.3,10.8,305,2.7,0.344,1
27.2,86,100,9,37,1010.9,10.4,22,1.3,0.344,0
29.1,79,100,0,100,1010.6,14.0,121,1.5,0.344,0
29.8,77,100,4,92,1010.1,13.3,90,1.8,0.344,0
30.9,73,100,3,21,1009.0,14.8,108,2.4,0.344,0
31.8,67,100,13,12,1007.5,16.9,147,4.9,0.344,0
31.8,66,100,8,0,1006.5,19.8,150,7.8,0.344,0
30.9,71,100,17,0,1006.1,21.6,153,8.5,0.344,1
30.8,69,100,8,1,1005.9,18.0,146,7.6,0.344,0
29.8,74,100,4,0,1006.6,15.8,166,8.3,0.344,0
28.6,83,100,2,0,1007.1,12.2,180,9.0,0.344,0
28.2,86,100,1,0,1008.0,7.9,190,7.6,0.344,0
28.4,84,100,2,1,1008.6,2.5,231,4.4,0.344,0
28.0,85,100,3,18,1009.3,5.4,270,5.8,0.344,0
27.7,87,97,3,5,1009.3,6.8,283,7.7,0.344,0
27.1,90,98,0,0,1009.3,6.8,302,7.8,0.344,0
26.8,93,96,0,5,1009.2,7.9,306,8.9,0.344,0
26.2,95,67,1,3,1008.9,8.3,300,7.2,0.344,0
26.2,95,95,1,5,1008.2,4.7,333,3.3,0.344,0
26.0,95,90,3,5,1007.8,1.4,315,2.2,0.344,0
25.9,97,14,0,3,1007.6,1.8,333,2.5,0.344,0
25.8,97,42,0,1,1007.8,2.9,353,3.7,0.344,0
25.7,97,46,0,1,1008.3,2.9,45,4.2,0.344,0
26.4,96,48,0,1,1009.0,4.7,72,4.6,0.344,0
28.5,86,1,0,2,1009.9,9.4,129,3.5,0.344,0
29.7,78,42,1,8,1010.4,13.3,147,4.2,0.344,0
30.9,73,77,4,5,1010.6,14.0,148,3.0,0.344,0
31.8,69,2,7,3,1010.1,14.0,153,2.4,0.344,0
32.5,65,0,6,4,1008.8,15.8,165,3.5,0.344,0
32.9,63,79,6,4,1007.5,18.7,173,5.5,0.344,0
32.8,61,84,71,30,1006.4,21.2,181,9.0,0.344,1
31.3,65,92,55,8,1005.8,22.7,187,6.3,0.344,1
31.5,65,11,22,0,1005.4,14.0,162,5.5,0.344,0
31.0,68,0,10,4,1005.5,11.9,198,4.6,0.344,0
29.6,76,0,7,7,1006.3,8.6,178,8.7,0.344,0
28.9,80,0,4,3,1007.3,10.4,200,11.6,0.344,0
29.0,83,40,1,0,1007.4,6.5,227,9.5,0.344,0
28.5,85,7,1,0,1007.9,6.8,234,9.9,0.344,0
28.1,85,0,3,0,1008.1,7.2,241,10.9,0.344,0
27.8,86,0,1,0,1008.2,7.2,261,11.3,0.344,0
27.5,87,0,1,4,1008.2,6.8,311,6.9,0.344,0
27.2,88,1,40,13,1008.0,9.7,22,9.4,0.344,0
26.4,89,57,39,1,1007.7,23.8,60,14.5,0.344,0
25.8,89,27,13,0,1007.4,16.6,74,9.3,0.344,0
25.5,91,11,16,0,1007.1,10.1,32,6.1,0.344,0
25.5,91,1,33,8,1007.5,3.2,54,4.7,0.344,0
25.5,91,60,56,0,1008.3,8.3,16,9.7,0.344,0
24.9,93,92,84,4,1009.6,21.6,50,18.2,0.344,1
28.0,85,96,26,8,1009.6,10.1,23,5.4,0.344,0
30.0,76,81,5,1,1010.0,16.2,27,7.7,0.344,0
31.5,68,0,7,1,1010.2,18.4,35,6.9,0.344,0
32.5,63,62,12,8,1009.6,19.8,45,6.4,0.344,0
33.0,60,22,34,58,1008.4,19.8,90,4.5,0.344,0
30.7,66,64,43,33,1008.3,29.2,95,17.8,0.344,1
29.0,74,14,8,1,1007.5,30.6,339,5.2,0.344,1
30.6,69,16,1,1,1006.7,16.2,350,3.1,0.344,0
31.2,68,16,6,6,1006.5,14.8,45,5.4,0.344,0
30.5,70,8,23,19,1007.1,15.8,87,9.7,0.344,0
27.9,82,46,9,1,1008.3,15.5,120,8.1,0.344,1
27.2,89,64,5,1,1008.7,4.0,166,5.2,0.344,0
26.1,89,100,14,11,1010.1,9.0,360,4.5,0.344,1
25.9,91,93,26,30,1010.2,15.1,25,13.9,0.344,1
25.1,92,99,32,4,1010.3,18.0,37,8.0,0.344,1
25.2,92,98,18,2,1010.4,12.2,43,10.3,0.344,0
25.1,93,97,45,2,1010.1,9.0,5,9.8,0.344,0
24.9,94,98,76,8,1009.7,9.4,344,8.8,0.344,1
25.0,94,94,48,2,1009.6,13.3,352,13.2,0.344,0
24.9,96,76,9,26,1009.1,12.6,337,12.5,0.344,0
24.8,97,79,16,28,1009.0,15.8,330,14.7,0.344,0
24.6,97,0,4,22,1009.0,16.9,327,15.6,0.344,0
24.4,98,11,4,55,1009.5,16.9,330,16.0,0.344,0
24.7,96,92,0,100,1010.3,21.2,336,15.3,0.344,0
27.0,91,92,1,5,1010.9,19.8,9,10.8,0.344,0
28.3,78,5,0,0,1011.5,21.6,38,12.3,0.344,0
29.5,61,12,0,0,1011.7,26.6,54,15.3,0.344,0
30.5,54,0,0,0,1011.2,27.0,53,15.1,0.344,0
31.2,51,0,0,0,1010.2,27.0,50,14.2,0.344,0
31.7,50,0,0,0,1009.3,25.9,50,13.8,0.344,0
32.0,50,0,0,0,1008.2,25.6,57,14.4,0.344,0
31.9,50,0,4,4,1007.4,25.9,62,15.5,0.344,0
31.5,53,0,3,2,1007.3,25.2,61,13.6,0.344,0
30.5,58,0,3,1,1007.4,19.1,83,13.8,0.344,0
28.6,65,0,3,0,1007.8,13.7,106,16.2,0.344,0
27.8,71,0,3,0,1008.5,11.9,82,15.1,0.344,0
28.0,72,0,8,1,1009.8,4.7,9,6.8,0.344,0
27.1,78,0,9,0,1010.2,5.8,317,4.9,0.344,0
26.6,82,0,2,10,1010.5,7.2,335,9.0,0.344,0
26.5,82,0,4,0,1010.7,7.2,335,9.9,0.344,0
26.1,83,0,2,11,1010.9,8.3,342,10.5,0.344,0
25.9,82,0,1,3,1010.6,12.2,342,14.8,0.344,0
25.3,82,0,0,0,1010.3,13.7,356,15.3,0.344,0
25.0,83,0,0,0,1009.7,10.8,14,14.2,0.344,0
24.8,84,0,0,0,1009.6,10.4,10,13.5,0.344,0
24.5,86,0,0,0,1010.0,10.4,10,13.9,0.344,0
24.1,87,0,0,0,1010.6,10.8,9,13.8,0.344,0
24.5,86,0,0,0,1011.2,9.4,360,11.8,0.344,0
26.5,81,42,0,0,1012.0,10.8,3,7.6,0.344,0
28.2,73,78,0,0,1012.5,14.8,29,6.5,0.344,0
29.5,66,71,0,0,1012.5,19.1,37,9.0,0.344,0
30.6,61,0,6,4,1011.7,22.0,44,10.7,0.344,0
31.5,56,0,6,4,1010.8,22.0,53,9.8,0.344,0
32.1,52,0,11,1,1010.0,20.5,66,9.5,0.344,0
32.4,50,2,9,3,1008.7,19.8,63,9.3,0.344,0
32.4,49,0,13,6,1008.0,18.7,68,9.4,0.344,0
32.0,51,0,10,6,1007.7,17.3,78,10.0,0.344,0
30.9,59,1,2,1,1007.8,15.1,97,12.6,0.344,0
29.2,65,0,4,1,1008.4,14.4,111,17.3,0.344,0
28.5,69,0,4,2,1009.0,14.0,102,14.8,0.344,0
28.7,75,75,8,3,1010.3,5.8,122,6.7,0.344,0
28.2,75,90,12,1,1010.9,8.6,15,12.1,0.344,0
27.3,78,81,5,1,1011.0,10.8,353,12.9,0.344,0
27.0,77,93,1,2,1011.0,8.6,351,12.4,0.344,0
26.6,78,53,9,13,1010.8,9.0,360,13.6,0.344,0
26.3,79,84,8,11,1010.4,12.6,346,15.7,0.344,0
25.5,84,98,12,16,1010.1,16.6,355,16.2,0.344,0
25.0,86,100,0,0,1009.5,13.3,12,12.3,0.344,0
24.5,89,100,0,3,1009.3,8.6,344,9.1,0.344,0
24.2,90,97,0,4,1009.5,6.1,344,8.5,0.344,0
24.0,91,99,0,4,1010.0,6.8,351,9.4,0.344,0
24.6,89,99,0,1,1010.6,6.8,352,9.7,0.344,0
26.6,81,100,1,1,1011.8,12.6,5,7.7,0.344,0
28.2,73,100,0,2,1012.8,15.1,28,6.9,0.344,0
29.6,67,100,0,0,1012.5,20.5,32,7.8,0.344,0
30.9,59,100,8,5,1011.5,21.6,48,10.7,0.344,0
31.6,55,98,13,8,1010.5,22.7,64,11.8,0.344,0
32.0,53,100,7,7,1009.5,23.0,74,12.2,0.344,0
32.0,52,99,7,5,1008.2,24.1,81,13.4,0.344,0
32.2,51,87,5,1,1007.5,25.2,77,14.2,0.344,0
31.8,53,70,4,0,1007.1,24.1,71,13.7,0.344,0
30.9,58,22,5,0,1007.2,20.5,76,13.3,0.344,0
29.2,65,0,3,0,1007.8,14.4,77,15.0,0.344,0
28.8,69,3,5,0,1008.6,10.8,75,13.7,0.344,0
28.2,73,0,20,2,1009.8,9.7,20,13.7,0.344,0
28.1,72,0,21,1,1010.4,11.2,14,15.8,0.344,0
27.6,75,0,8,11,1010.6,11.5,5,13.2,0.344,0
26.9,77,78,28,13,1010.7,9.0,7,11.0,0.344,0
26.5,78,96,0,3,1010.4,8.6,353,11.2,0.344,0
25.8,81,80,1,1,1010.0,9.0,343,10.5,0.344,0
25.8,80,86,2,0,1009.4,8.6,13,13.9,0.344,0
26.0,77,67,4,0,1009.0,13.0,43,17.0,0.344,0
25.6,76,4,6,0,1008.7,14.0,34,16.8,0.344,0
25.0,80,0,6,0,1008.9,13.7,18,13.8,0.344,0
24.3,85,0,1,0,1009.6,9.4,345,9.9,0.344,0
24.8,86,0,0,0,1010.6,6.8,305,7.2,0.344,0
26.5,79,25,1,0,1011.7,10.1,310,5.3,0.344,0
28.0,71,82,0,0,1012.3,12.2,310,4.3,0.344,0
29.4,67,24,0,0,1012.2,13.7,324,4.7,0.344,0
30.6,60,8,2,2,1011.3,17.3,6,6.9,0.344,0
31.6,55,3,2,7,1010.1,19.4,40,9.0,0.344,0
32.5,52,9,4,5,1008.8,20.2,49,9.6,0.344,0
33.0,50,68,3,3,1007.5,22.3,54,10.6,0.344,0
32.9,49,100,7,7,1006.9,22.3,67,11.9,0.344,0
32.3,51,89,9,8,1006.9,20.9,79,13.3,0.344,0
31.1,56,10,13,12,1007.3,20.2,90,15.5,0.344,0
29.4,66,0,7,7,1007.9,17.3,100,14.2,0.344,0
28.8,67,0,8,0,1008.7,10.1,82,15.6,0.344,0
28.5,67,0,31,1,1010.2,11.2,58,16.2,0.344,0
28.1,69,0,52,2,1010.7,12.2,40,15.1,0.344,0
27.8,71,7,16,0,1010.8,10.4,33,15.3,0.344,0
27.3,73,13,21,7,1010.7,10.4,49,15.3,0.344,0
26.9,75,5,4,0,1010.1,10.1,36,13.9,0.344,0
26.3,79,2,2,0,1009.8,9.4,43,12.3,0.344,0
25.8,82,0,1,0,1009.4,8.3,59,12.3,0.344,0
25.5,81,73,2,0,1008.9,7.2,71,13.3,0.344,0
25.1,80,95,4,2,1008.8,7.2,36,12.1,0.344,0
24.8,82,100,2,2,1009.0,7.2,5,10.6,0.344,0
24.6,83,98,2,4,1009.8,6.8,15,9.7,0.344,0
25.4,79,94,0,3,1010.6,3.2,35,9.5,0.344,0
26.4,79,6,0,0,1011.1,7.6,73,3.5,0.344,0
27.8,72,63,0,0,1012.0,10.4,95,3.2,0.344,0
29.1,67,72,0,0,1012.1,11.5,85,2.9,0.344,0
30.4,60,82,2,0,1011.5,15.1,69,5.8,0.344,0
31.5,53,98,1,0,1010.2,22.0,62,11.3,0.344,0
32.2,51,77,6,2,1009.0,26.6,61,14.8,0.344,0
32.3,50,78,15,2,1007.9,28.4,66,16.0,0.344,0
32.1,51,87,17,7,1007.5,28.4,64,16.1,0.344,0
31.6,53,78,17,8,1007.3,25.9,63,15.9,0.344,0
30.8,58,40,5,1,1007.6,22.3,52,15.1,0.344,0
